Text,Category,Noun,Personal Pronoun,Adverb,Verb,Adjective,Preposition,Modal,Conjunction,Determiner,Verb present,Verb past,Verb past participle
 I watched the sunrise yesterday morning.,Past Tense,,,,,,,,,,,,
 She played a game last Saturday.,Past Tense,,,,,,,,,,,,
 He went to the gym yesterday afternoon.,Past Tense,,,,,,,,,,,,
 They read a book before bedtime last week.,Past Tense,,,,,,,,,,,,
 I had a picnic at the beach last month.,Past Tense,,,,,,,,,,,,
 She went to the zoo last weekend.,Past Tense,,,,,,,,,,,,
 He bought new shoes yesterday.,Past Tense,,,,,,,,,,,,
 They painted a picture together two days ago.,Past Tense,,,,,,,,,,,,
 I will have finished all of my work by tomorrow.,Future Tense,,,,,,,,,,,,
 We will have gone on vacation by the time you arrive.,Future Tense,,,,,,,,,,,,
 She will have graduated from college by next year.,Future Tense,,,,,,,,,,,,
 They will have built a new house by the end of the year.,Future Tense,,,,,,,,,,,,
 I will have earned my degree by this time next year.,Future Tense,,,,,,,,,,,,
 He will have bought a new car by the end of the summer.,Future Tense,,,,,,,,,,,,
 They will have saved enough money to purchase a new home.,Future Tense,,,,,,,,,,,,
 I will have completed my final exams by next week.,Future Tense,,,,,,,,,,,,
 We will have moved to a new city by the end of the month.,Future Tense,,,,,,,,,,,,
 She will have finished her project by the end of the week.,Future Tense,,,,,,,,,,,,
 He will have found a new job by the end of the year.,Future Tense,,,,,,,,,,,,
 We will have organized a party for her birthday by then.,Future Tense,,,,,,,,,,,,
 They will have visited their grandparents by the end of the summer.,Future Tense,,,,,,,,,,,,
 I will have written a book by the time I'm ,Future Tense,,,,,,,,,,,,
 She will have finished her degree by this time next year.,Future Tense,,,,,,,,,,,,
 He will have purchased a new house by the end of next month.,Future Tense,,,,,,,,,,,,
 We will have gone on a family trip by the end of the year.,Future Tense,,,,,,,,,,,,
 They will have saved enough money for a down payment by then.,Future Tense,,,,,,,,,,,,
 I will have finished my degree by this time next year.,Future Tense,,,,,,,,,,,,
 She will have completed her master's degree by the end of the summer.,Future Tense,,,,,,,,,,,,
 He will have found a new job by the end of the month.,Future Tense,,,,,,,,,,,,
 We will have moved to a bigger house by then.,Future Tense,,,,,,,,,,,,
 They will have gone on a long vacation by the end of the summer.,Future Tense,,,,,,,,,,,,
 I will have saved enough money for a new car by next year.,Future Tense,,,,,,,,,,,,
 She will have organized a surprise party for her parents by then.,Future Tense,,,,,,,,,,,,
 He will have bought a new house by the end of the year.,Future Tense,,,,,,,,,,,,
 We will have renovated the kitchen by the end of the month.,Future Tense,,,,,,,,,,,,
 They will have had their first child by this time next year.,Future Tense,,,,,,,,,,,,
 I will have graduated from college by the end of the summer.,Future Tense,,,,,,,,,,,,
 She will have gotten a promotion by then.,Future Tense,,,,,,,,,,,,
 He will have written a book by the end of the year.,Future Tense,,,,,,,,,,,,
 We will have gone on a cruise by the end of the summer.,Future Tense,,,,,,,,,,,,
 They will have built a new school by the end of the year.,Future Tense,,,,,,,,,,,,
 I will have bought a new laptop by then.,Future Tense,,,,,,,,,,,,
 She will have finished her dissertation by this time next year.,Future Tense,,,,,,,,,,,,
 He will have completed his certification by the end of the month.,Future Tense,,,,,,,,,,,,
 We will have gone to the beach by the end of the summer.,Future Tense,,,,,,,,,,,,
 They will have saved up enough money for a down payment by then.,Future Tense,,,,,,,,,,,,
 I will have earned my master's degree by this time next year.,Future Tense,,,,,,,,,,,,
 She will have earned enough money to start a business by then.,Future Tense,,,,,,,,,,,,
 He will have purchased a new car by the end of the year.,Future Tense,,,,,,,,,,,,
 We will have changed jobs by the end of the summer.,Future Tense,,,,,,,,,,,,
 They will have gone on a family vacation by then.,Future Tense,,,,,,,,,,,,
 I will have written my own novel by the time I'm ,Future Tense,,,,,,,,,,,,
 She will have finished her thesis by this time next year.,Future Tense,,,,,,,,,,,,
 He will have moved to a new city by the end of the month.,Future Tense,,,,,,,,,,,,
 We will have gone on a shopping spree by the end of the summer.,Future Tense,,,,,,,,,,,,
 They will have saved enough money for a down payment by then.,Future Tense,,,,,,,,,,,,
 I will have completed my degree by the end of the year.,Future Tense,,,,,,,,,,,,
 She will have gotten a new job by then.,Future Tense,,,,,,,,,,,,
 He will have written a book by this time next year.,Future Tense,,,,,,,,,,,,
 We will have gone on a road trip by the end of the summer.,Future Tense,,,,,,,,,,,,
 They will have bought a new house by then.,Future Tense,,,,,,,,,,,,
 I will have earned my PhD by the end of the year.,Future Tense,,,,,,,,,,,,
 She will have finished her coursework by this time next year.,Future Tense,,,,,,,,,,,,
 He will have found a new job by the end of the month.,Future Tense,,,,,,,,,,,,
 We will have moved to a new country by the end of the summer.,Future Tense,,,,,,,,,,,,
 They will have saved enough money for a down payment by then.,Future Tense,,,,,,,,,,,,
 I will have published an article by the time I'm ,Future Tense,,,,,,,,,,,,
 She will have graduated from university by this time next year.,Future Tense,,,,,,,,,,,,
 He will have bought a new car by the end of the year.,Future Tense,,,,,,,,,,,,
 We will have gone on a vacation by the end of the summer.,Future Tense,,,,,,,,,,,,
 They will have built a new house by then.,Future Tense,,,,,,,,,,,,
 I will have completed my master's degree by this time next year.,Future Tense,,,,,,,,,,,,
 She will have gotten a promotion by the end of the month.,Future Tense,,,,,,,,,,,,
 He will have written a novel by the end of the year.,Future Tense,,,,,,,,,,,,
 We will have gone to the beach by the end of the summer.,Future Tense,,,,,,,,,,,,
 They will have saved enough money for a down payment by then.,Future Tense,,,,,,,,,,,,
 I will have finished my research project by this time next year.,Future Tense,,,,,,,,,,,,
 She will have earned enough money to start her own business by then.,Future Tense,,,,,,,,,,,,
 He will have bought a new house by the end of the month.,Future Tense,,,,,,,,,,,,
 We will have moved to a new city by the end of the summer.,Future Tense,,,,,,,,,,,,
 They will have gone on a family vacation by then.,Future Tense,,,,,,,,,,,,
 I will have saved enough money for a new car by the end of the year.,Future Tense,,,,,,,,,,,,
 She will have organized a surprise party for her friends by then.,Future Tense,,,,,,,,,,,,
 He will have finished his thesis by this time next year.,Future Tense,,,,,,,,,,,,
 We will have gone on a shopping spree by the end of the summer.,Future Tense,,,,,,,,,,,,
 They will have saved enough money for a down payment by then.,Future Tense,,,,,,,,,,,,
 I will have earned my degree by the end of the year.,Future Tense,,,,,,,,,,,,
 She will have found a new job by then.,Future Tense,,,,,,,,,,,,
 He will have written a book by this time next year.,Future Tense,,,,,,,,,,,,
 We will have gone on a cruise by the end of the summer.,Future Tense,,,,,,,,,,,,
 They will have built a new school by then.,Future Tense,,,,,,,,,,,,
 I will have bought a new laptop by the end of the year.,Future Tense,,,,,,,,,,,,
 She will have finished her dissertation by this time next year.,Future Tense,,,,,,,,,,,,
 He will have completed his certification by the end of the month.,Future Tense,,,,,,,,,,,,
 We will have gone to the movies by the end of the summer.,Future Tense,,,,,,,,,,,,
 They will have saved up enough money for a down payment by then.,Future Tense,,,,,,,,,,,,
 I will have graduated from college by this time next year.,Future Tense,,,,,,,,,,,,
 She will have gotten a promotion by then.,Future Tense,,,,,,,,,,,,
 He will have bought a new house by the end of the year.,Future Tense,,,,,,,,,,,,
 We will have renovated the kitchen by the end of the month.,Future Tense,,,,,,,,,,,,
 They will have had their first child by then.,Future Tense,,,,,,,,,,,,
 I will have saved enough money for a new car by next year.,Future Tense,,,,,,,,,,,,
 She will have organized a surprise party for her parents by then.,Future Tense,,,,,,,,,,,,
 He will have written a book by the end of the summer.,Future Tense,,,,,,,,,,,,
 We will have gone on a family trip by the end of the year.,Future Tense,,,,,,,,,,,,
 They will have visited their grandparents by then.,Future Tense,,,,,,,,,,,,
 I will have finished my degree by this time next year.,Future Tense,,,,,,,,,,,,
 She will have completed her master's degree by the end of the month.,Future Tense,,,,,,,,,,,,
 You watch a baseball game.,Present Tense,,,,,,,,,,,,
 They go to the amusement park.,Present Tense,,,,,,,,,,,,
 I take a dance class.,Present Tense,,,,,,,,,,,,
 She plays a game of catch.,Present Tense,,,,,,,,,,,,
 He goes to a restaurant.,Present Tense,,,,,,,,,,,,
 We bake a cake.,Present Tense,,,,,,,,,,,,
 You go to the movies.,Present Tense,,,,,,,,,,,,
 They order pizza.,Present Tense,,,,,,,,,,,,
 I go to a carnival.,Present Tense,,,,,,,,,,,,
 She goes to a birthday party.,Present Tense,,,,,,,,,,,,
 He goes to the farmers market.,Present Tense,,,,,,,,,,,,
 We do a science project.,Present Tense,,,,,,,,,,,,
 You go to the beach.,Present Tense,,,,,,,,,,,,
 They go to the aquarium.,Present Tense,,,,,,,,,,,,
 I go to a concert.,Present Tense,,,,,,,,,,,,
 She goes to the library.,Present Tense,,,,,,,,,,,,
 He takes a boat ride.,Present Tense,,,,,,,,,,,,
 We go to the lake.,Present Tense,,,,,,,,,,,,
 You play a board game.,Present Tense,,,,,,,,,,,,
 They go to the mall.,Present Tense,,,,,,,,,,,,
 I go to the park.,Present Tense,,,,,,,,,,,,
 She goes to the theater.,Present Tense,,,,,,,,,,,,
 He goes ice skating.,Present Tense,,,,,,,,,,,,
 We go to the art museum.,Present Tense,,,,,,,,,,,,
 You go to a hockey game.,Present Tense,,,,,,,,,,,,
 They go for a bike ride.,Present Tense,,,,,,,,,,,,
 I go to a flea market.,Present Tense,,,,,,,,,,,,
 She attends a music festival.,Present Tense,,,,,,,,,,,,
 He goes to a comedy show.,Present Tense,,,,,,,,,,,,
 We take a road trip.,Present Tense,,,,,,,,,,,,
 You go to the zoo.,Present Tense,,,,,,,,,,,,
 They go to a haunted house.,Present Tense,,,,,,,,,,,,
 I go to a bar.,Present Tense,,,,,,,,,,,,
 She goes to a car show.,Present Tense,,,,,,,,,,,,
 He goes to the fair.,Present Tense,,,,,,,,,,,,
 We go to a sports game.,Present Tense,,,,,,,,,,,,
 You go to a Renaissance festival.,Present Tense,,,,,,,,,,,,
 They go to a music concert.,Present Tense,,,,,,,,,,,,
 I go to a food festival.,Present Tense,,,,,,,,,,,,
 She goes to a street festival.,Present Tense,,,,,,,,,,,,
 He takes a cooking class.,Present Tense,,,,,,,,,,,,
 We go to an opera.,Present Tense,,,,,,,,,,,,
 You go to a dance.,Present Tense,,,,,,,,,,,,
 They go to a festival of lights.,Present Tense,,,,,,,,,,,,
 I take a yoga class.,Present Tense,,,,,,,,,,,,
 She goes to a movie.,Present Tense,,,,,,,,,,,,
 He goes to the aquarium.,Present Tense,,,,,,,,,,,,
 We go to a water park.,Present Tense,,,,,,,,,,,,
 You go to an art exhibit.,Present Tense,,,,,,,,,,,,
 They go to a wine tasting.,Present Tense,,,,,,,,,,,,
 I go to a car race.,Present Tense,,,,,,,,,,,,
 She goes to a flea market.,Present Tense,,,,,,,,,,,,
 He goes to a jazz club.,Present Tense,,,,,,,,,,,,
 We go to a paint night.,Present Tense,,,,,,,,,,,,
 You go to a ski resort.,Present Tense,,,,,,,,,,,,
 They go to a poetry reading.,Present Tense,,,,,,,,,,,,
 I go to a rodeo.,Present Tense,,,,,,,,,,,,
 She goes to a pottery class.,Present Tense,,,,,,,,,,,,
 He goes to an ice cream parlor.,Present Tense,,,,,,,,,,,,
 We go to a theme park.,Present Tense,,,,,,,,,,,,
 You go to a natural history museum.,Present Tense,,,,,,,,,,,,
 They go to a music festival.,Present Tense,,,,,,,,,,,,
 I go to a concert.,Present Tense,,,,,,,,,,,,
 She goes to a concert hall.,Present Tense,,,,,,,,,,,,
 He goes to a baseball game.,Present Tense,,,,,,,,,,,,
 We go to a jazz club.,Present Tense,,,,,,,,,,,,
 You go to a science center.,Present Tense,,,,,,,,,,,,
 They go to a wedding.,Present Tense,,,,,,,,,,,,
 I go to a comic con.,Present Tense,,,,,,,,,,,,
 She goes to a comedy club.,Present Tense,,,,,,,,,,,,
 He goes to a car show.,Present Tense,,,,,,,,,,,,
 We go to a summer festival.,Present Tense,,,,,,,,,,,,
 You go to a botanical garden.,Present Tense,,,,,,,,,,,,
 They go to the opera.,Present Tense,,,,,,,,,,,,
 I go to a rock concert.,Present Tense,,,,,,,,,,,,
 She goes to a county fair.,Present Tense,,,,,,,,,,,,
 He goes to a flea market.,Present Tense,,,,,,,,,,,,
 We go to a paint and sip.,Present Tense,,,,,,,,,,,,
 You go to a fireworks show.,Present Tense,,,,,,,,,,,,
 They go to a holiday parade.,Present Tense,,,,,,,,,,,,
 I go to a beer fest.,Present Tense,,,,,,,,,,,,
 She goes to a skating rink.,Present Tense,,,,,,,,,,,,
 He goes to a karaoke bar.,Present Tense,,,,,,,,,,,,
 We go to a balloon festival.,Present Tense,,,,,,,,,,,,
 You go to a rodeo.,Present Tense,,,,,,,,,,,,
 They go to a classical music concert.,Present Tense,,,,,,,,,,,,
 I go to a car show.,Present Tense,,,,,,,,,,,,
 She goes to a hot air balloon festival.,Present Tense,,,,,,,,,,,,
 He goes to a street fair.,Present Tense,,,,,,,,,,,,
 We go to a food truck festival.,Present Tense,,,,,,,,,,,,
 You go to a haunted house.,Present Tense,,,,,,,,,,,,
 They go to a bowling alley.,Present Tense,,,,,,,,,,,,
 I go to a comic book convention.,Present Tense,,,,,,,,,,,,
 She goes to a Renaissance fair.,Present Tense,,,,,,,,,,,,
 He goes to a holiday market.,Present Tense,,,,,,,,,,,,
 We go to a community festival.,Present Tense,,,,,,,,,,,,
 You go to a wine festival.,Present Tense,,,,,,,,,,,,
 They go to a chili cook-off.,Present Tense,,,,,,,,,,,,
 I go to a music festival.,Present Tense,,,,,,,,,,,,
 She goes to a movie theater.,Present Tense,,,,,,,,,,,,
 I woke up early this morning.,Past Tense,,,,,,,,,,,,
 I went to the store to buy groceries.,Past Tense,,,,,,,,,,,,
 I saw my neighbor walking her dog.,Past Tense,,,,,,,,,,,,
 I cooked my breakfast and ate it.,Past Tense,,,,,,,,,,,,
 I took a shower and got ready for the day.,Past Tense,,,,,,,,,,,,
 I drove to work and arrived on time.,Past Tense,,,,,,,,,,,,
 I completed my tasks and left for home.,Past Tense,,,,,,,,,,,,
 I stopped at the park and took a walk.,Past Tense,,,,,,,,,,,,
 I bought some flowers for my garden.,Past Tense,,,,,,,,,,,,
 I watered my plants and admired them.,Past Tense,,,,,,,,,,,,
 I cooked dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and cleaned the kitchen.,Past Tense,,,,,,,,,,,,
 I went outside and watched the stars.,Past Tense,,,,,,,,,,,,
 I went to bed early and fell asleep soon.,Past Tense,,,,,,,,,,,,
 I got up late the next morning.,Past Tense,,,,,,,,,,,,
 I made breakfast and ate it quickly.,Past Tense,,,,,,,,,,,,
 I drove to school and met my friends.,Past Tense,,,,,,,,,,,,
 I attended my classes and learned a lot.,Past Tense,,,,,,,,,,,,
 I stayed late and worked on my project.,Past Tense,,,,,,,,,,,,
 I drove home and stopped at the store.,Past Tense,,,,,,,,,,,,
 I bought some food and went back home.,Past Tense,,,,,,,,,,,,
 I prepared dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I went for a walk in the park.,Past Tense,,,,,,,,,,,,
 I watched the sunset and admired the view.,Past Tense,,,,,,,,,,,,
 I returned home and took a shower.,Past Tense,,,,,,,,,,,,
 I went to bed early and slept soundly.,Past Tense,,,,,,,,,,,,
 I woke up early the next day.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to work.,Past Tense,,,,,,,,,,,,
 I finished my tasks and left for home.,Past Tense,,,,,,,,,,,,
 I stopped at the store and bought some food.,Past Tense,,,,,,,,,,,,
 I cooked dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I watched the stars and admired their beauty.,Past Tense,,,,,,,,,,,,
 I went to bed early and fell asleep soon.,Past Tense,,,,,,,,,,,,
 I woke up late the next day.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to school.,Past Tense,,,,,,,,,,,,
 I attended my classes and learned a lot.,Past Tense,,,,,,,,,,,,
 I stayed late and worked on my project.,Past Tense,,,,,,,,,,,,
 I drove home and stopped at the store.,Past Tense,,,,,,,,,,,,
 I bought some groceries and went back home.,Past Tense,,,,,,,,,,,,
 I prepared dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the sunset and admired the view.,Past Tense,,,,,,,,,,,,
 I returned home and took a shower.,Past Tense,,,,,,,,,,,,
 I went to bed early and slept soundly.,Past Tense,,,,,,,,,,,,
 I woke up early the next morning.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to work.,Past Tense,,,,,,,,,,,,
 I finished my tasks and left for home.,Past Tense,,,,,,,,,,,,
 I stopped at the store and bought some food.,Past Tense,,,,,,,,,,,,
 I cooked dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the stars and admired their beauty.,Past Tense,,,,,,,,,,,,
 I went to bed early and fell asleep soon.,Past Tense,,,,,,,,,,,,
 I woke up late the next day.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to school.,Past Tense,,,,,,,,,,,,
 I attended my classes and learned a lot.,Past Tense,,,,,,,,,,,,
 I stayed late and worked on my project.,Past Tense,,,,,,,,,,,,
 I drove home and stopped at the store.,Past Tense,,,,,,,,,,,,
 I bought some groceries and went back home.,Past Tense,,,,,,,,,,,,
 I prepared dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the sunset and admired the view.,Past Tense,,,,,,,,,,,,
 I returned home and took a shower.,Past Tense,,,,,,,,,,,,
 I went to bed early and slept soundly.,Past Tense,,,,,,,,,,,,
 I woke up early the next morning.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to work.,Past Tense,,,,,,,,,,,,
 I finished my tasks and left for home.,Past Tense,,,,,,,,,,,,
 I stopped at the store and bought some food.,Past Tense,,,,,,,,,,,,
 I cooked dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the stars and admired their beauty.,Past Tense,,,,,,,,,,,,
 I went to bed early and fell asleep soon.,Past Tense,,,,,,,,,,,,
 I woke up late the next day.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to school.,Past Tense,,,,,,,,,,,,
 I attended my classes and learned a lot.,Past Tense,,,,,,,,,,,,
 I stayed late and worked on my project.,Past Tense,,,,,,,,,,,,
 I drove home and stopped at the store.,Past Tense,,,,,,,,,,,,
 I bought some groceries and went back home.,Past Tense,,,,,,,,,,,,
 I prepared dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the sunset and admired the view.,Past Tense,,,,,,,,,,,,
 I returned home and took a shower.,Past Tense,,,,,,,,,,,,
 I went to bed early and slept soundly.,Past Tense,,,,,,,,,,,,
 I woke up early the next morning.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to work.,Past Tense,,,,,,,,,,,,
 I finished my tasks and left for home.,Past Tense,,,,,,,,,,,,
 I stopped at the store and bought some food.,Past Tense,,,,,,,,,,,,
 I cooked dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the stars and admired their beauty.,Past Tense,,,,,,,,,,,,
 I went to bed early and fell asleep soon.,Past Tense,,,,,,,,,,,,
 I woke up late the next day.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to school.,Past Tense,,,,,,,,,,,,
 I attended my classes and learned a lot.,Past Tense,,,,,,,,,,,,
 I stayed late and worked on my project.,Past Tense,,,,,,,,,,,,
 I drove home and stopped at the store.,Past Tense,,,,,,,,,,,,
 I bought some groceries and went back home.,Past Tense,,,,,,,,,,,,
 I prepared dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the sunset and admired the view.,Past Tense,,,,,,,,,,,,
 I returned home and took a shower.,Past Tense,,,,,,,,,,,,
 I went to bed early and slept soundly.,Past Tense,,,,,,,,,,,,
 I woke up early the next morning.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to work.,Past Tense,,,,,,,,,,,,
 I finished my tasks and left for home.,Past Tense,,,,,,,,,,,,
 I stopped at the store and bought some food.,Past Tense,,,,,,,,,,,,
 I cooked dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the stars and admired their beauty.,Past Tense,,,,,,,,,,,,
 I went to bed early and fell asleep soon.,Past Tense,,,,,,,,,,,,
 I woke up late the next day.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to school.,Past Tense,,,,,,,,,,,,
 I attended my classes and learned a lot.,Past Tense,,,,,,,,,,,,
 I stayed late and worked on my project.,Past Tense,,,,,,,,,,,,
 I drove home and stopped at the store.,Past Tense,,,,,,,,,,,,
 I bought some groceries and went back home.,Past Tense,,,,,,,,,,,,
 I prepared dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the sunset and admired the view.,Past Tense,,,,,,,,,,,,
 I returned home and took a shower.,Past Tense,,,,,,,,,,,,
 I went to bed early and slept soundly.,Past Tense,,,,,,,,,,,,
 I woke up early the next morning.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to work.,Past Tense,,,,,,,,,,,,
 I finished my tasks and left for home.,Past Tense,,,,,,,,,,,,
 I stopped at the store and bought some food.,Past Tense,,,,,,,,,,,,
 I cooked dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the stars and admired their beauty.,Past Tense,,,,,,,,,,,,
 I went to bed early and fell asleep soon.,Past Tense,,,,,,,,,,,,
 I woke up late the next day.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to school.,Past Tense,,,,,,,,,,,,
 I attended my classes and learned a lot.,Past Tense,,,,,,,,,,,,
 I stayed late and worked on my project.,Past Tense,,,,,,,,,,,,
 I drove home and stopped at the store.,Past Tense,,,,,,,,,,,,
 I bought some groceries and went back home.,Past Tense,,,,,,,,,,,,
 I prepared dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the sunset and admired the view.,Past Tense,,,,,,,,,,,,
 I returned home and took a shower.,Past Tense,,,,,,,,,,,,
 I went to bed early and slept soundly.,Past Tense,,,,,,,,,,,,
 I woke up early the next morning.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to work.,Past Tense,,,,,,,,,,,,
 I finished my tasks and left for home.,Past Tense,,,,,,,,,,,,
 I stopped at the store and bought some food.,Past Tense,,,,,,,,,,,,
 I cooked dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the stars and admired their beauty.,Past Tense,,,,,,,,,,,,
 I went to bed early and fell asleep soon.,Past Tense,,,,,,,,,,,,
 I woke up late the next day.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to school.,Past Tense,,,,,,,,,,,,
 I attended my classes and learned a lot.,Past Tense,,,,,,,,,,,,
 I stayed late and worked on my project.,Past Tense,,,,,,,,,,,,
 I drove home and stopped at the store.,Past Tense,,,,,,,,,,,,
 I bought some groceries and went back home.,Past Tense,,,,,,,,,,,,
 I prepared dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the sunset and admired the view.,Past Tense,,,,,,,,,,,,
 I returned home and took a shower.,Past Tense,,,,,,,,,,,,
 I went to bed early and slept soundly.,Past Tense,,,,,,,,,,,,
 I woke up early the next morning.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to work.,Past Tense,,,,,,,,,,,,
 I finished my tasks and left for home.,Past Tense,,,,,,,,,,,,
 I stopped at the store and bought some food.,Past Tense,,,,,,,,,,,,
 I cooked dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the stars and admired their beauty.,Past Tense,,,,,,,,,,,,
 I went to bed early and fell asleep soon.,Past Tense,,,,,,,,,,,,
 I woke up late the next day.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to school.,Past Tense,,,,,,,,,,,,
 I attended my classes and learned a lot.,Past Tense,,,,,,,,,,,,
 I stayed late and worked on my project.,Past Tense,,,,,,,,,,,,
 I drove home and stopped at the store.,Past Tense,,,,,,,,,,,,
 I bought some groceries and went back home.,Past Tense,,,,,,,,,,,,
 I prepared dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I watched the sunset and admired the view.,Past Tense,,,,,,,,,,,,
 I returned home and took a shower.,Past Tense,,,,,,,,,,,,
 I went to bed early and slept soundly.,Past Tense,,,,,,,,,,,,
 I woke up early the next morning.,Past Tense,,,,,,,,,,,,
 I made breakfast and went to work.,Past Tense,,,,,,,,,,,,
 I finished my tasks and left for home.,Past Tense,,,,,,,,,,,,
 I stopped at the store and bought some food.,Past Tense,,,,,,,,,,,,
 I cooked dinner and ate with my family.,Past Tense,,,,,,,,,,,,
 I washed the dishes and went outside.,Past Tense,,,,,,,,,,,,
 I took a walk in the park and enjoyed the scenery.,Past Tense,,,,,,,,,,,,
 I will explore the world.,Future Tense,,,,,,,,,,,,
 I will be the best version of myself.,Future Tense,,,,,,,,,,,,
 I will stay positive and motivated.,Future Tense,,,,,,,,,,,,
 I will be more organized and productive.,Future Tense,,,,,,,,,,,,
 I will learn something new every day.,Future Tense,,,,,,,,,,,,
 I will take risks and be courageous.,Future Tense,,,,,,,,,,,,
 I will create meaningful relationships.,Future Tense,,,,,,,,,,,,
 I will make more time for myself.,Future Tense,,,,,,,,,,,,
 I will focus on my well-being.,Future Tense,,,,,,,,,,,,
 I will practice gratitude.,Future Tense,,,,,,,,,,,,
 I will live in the present moment.,Future Tense,,,,,,,,,,,,
 I will foster a better work/life balance.,Future Tense,,,,,,,,,,,,
 I will be more mindful of my thoughts and feelings.,Future Tense,,,,,,,,,,,,
 I will embrace my failures and learn from them.,Future Tense,,,,,,,,,,,,
 I will open my mind to new ideas and perspectives.,Future Tense,,,,,,,,,,,,
 I will cultivate healthier habits.,Future Tense,,,,,,,,,,,,
 I will prioritize my happiness.,Future Tense,,,,,,,,,,,,
 I will take care of my body.,Future Tense,,,,,,,,,,,,
 I will pursue my dreams.,Future Tense,,,,,,,,,,,,
 I will never give up.,Future Tense,,,,,,,,,,,,
 I will strive to reach my goals.,Future Tense,,,,,,,,,,,,
 I will be kind to everyone I meet.,Future Tense,,,,,,,,,,,,
 I will make a positive impact on the world.,Future Tense,,,,,,,,,,,,
